stream server start
2024/09/22 09:01:51 [-C---]          0 B       0 bps 
2024/09/22 09:16:46 [CC---]    1143110 B   10100 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:16:51 [CC---]    1149613 B   10090 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:16:56 [CC---]    1156108 B   10078 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:17:01 [CC---]    1162611 B   10110 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:17:06 [CC---]    1169114 B   10105 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:17:11 [CC---]    1175617 B   10100 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:17:16 [CC---]    1182120 B   10110 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:17:21 [CC---]    1188615 B   10058 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:17:26 [CC---]    1195110 B   10073 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:17:31 [CC---]    1201613 B   10100 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:17:36 [CC---]    1208052 B    9988 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:17:41 [CC---]    1214539 B   10090 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:17:46 [CC---]    1221034 B   15593 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:17:51 [CC---]    1227537 B    5050 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:17:56 [CC---]    1234024 B   11211 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:18:01 [CC---]    1240527 B   14055 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:18:06 [CC---]    1247022 B   10524 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:18:11 [CC---]    1253517 B   10100 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
